date,nav,scheme_code,scheme_name
23-06-2026,107.54210,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
22-06-2026,108.46810,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
19-06-2026,107.96360,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
18-06-2026,108.00810,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
17-06-2026,107.53480,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
16-06-2026,107.01400,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
15-06-2026,106.59770,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
12-06-2026,105.21240,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
11-06-2026,102.88080,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
10-06-2026,103.18730,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
09-06-2026,103.52590,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
08-06-2026,102.48450,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
05-06-2026,103.81020,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
04-06-2026,103.64210,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
03-06-2026,103.48090,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
02-06-2026,103.59590,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
01-06-2026,103.09480,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
31-05-2026,104.30830,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
29-05-2026,104.31290,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
27-05-2026,105.92960,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
26-05-2026,105.51150,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
25-05-2026,105.92170,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
22-05-2026,104.77080,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
21-05-2026,104.49150,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
20-05-2026,104.60460,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
19-05-2026,104.27670,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
18-05-2026,104.15560,120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option
