date,nav,scheme_code,scheme_name
23-06-2026,249.98140,120841,quant Mid Cap Fund - Growth Option - Direct Plan
22-06-2026,252.06940,120841,quant Mid Cap Fund - Growth Option - Direct Plan
19-06-2026,251.57130,120841,quant Mid Cap Fund - Growth Option - Direct Plan
18-06-2026,249.15530,120841,quant Mid Cap Fund - Growth Option - Direct Plan
17-06-2026,246.39250,120841,quant Mid Cap Fund - Growth Option - Direct Plan
16-06-2026,245.24020,120841,quant Mid Cap Fund - Growth Option - Direct Plan
15-06-2026,244.62900,120841,quant Mid Cap Fund - Growth Option - Direct Plan
12-06-2026,244.72050,120841,quant Mid Cap Fund - Growth Option - Direct Plan
11-06-2026,240.58860,120841,quant Mid Cap Fund - Growth Option - Direct Plan
10-06-2026,241.91860,120841,quant Mid Cap Fund - Growth Option - Direct Plan
09-06-2026,244.23470,120841,quant Mid Cap Fund - Growth Option - Direct Plan
08-06-2026,242.15940,120841,quant Mid Cap Fund - Growth Option - Direct Plan
05-06-2026,246.08780,120841,quant Mid Cap Fund - Growth Option - Direct Plan
04-06-2026,246.07840,120841,quant Mid Cap Fund - Growth Option - Direct Plan
03-06-2026,245.65930,120841,quant Mid Cap Fund - Growth Option - Direct Plan
02-06-2026,246.85660,120841,quant Mid Cap Fund - Growth Option - Direct Plan
01-06-2026,246.98140,120841,quant Mid Cap Fund - Growth Option - Direct Plan
29-05-2026,248.66730,120841,quant Mid Cap Fund - Growth Option - Direct Plan
27-05-2026,251.22730,120841,quant Mid Cap Fund - Growth Option - Direct Plan
26-05-2026,251.27020,120841,quant Mid Cap Fund - Growth Option - Direct Plan
25-05-2026,249.22660,120841,quant Mid Cap Fund - Growth Option - Direct Plan
22-05-2026,247.80390,120841,quant Mid Cap Fund - Growth Option - Direct Plan
21-05-2026,248.88530,120841,quant Mid Cap Fund - Growth Option - Direct Plan
20-05-2026,244.71990,120841,quant Mid Cap Fund - Growth Option - Direct Plan
19-05-2026,241.67710,120841,quant Mid Cap Fund - Growth Option - Direct Plan
18-05-2026,241.26150,120841,quant Mid Cap Fund - Growth Option - Direct Plan
15-05-2026,242.09520,120841,quant Mid Cap Fund - Growth Option - Direct Plan
14-05-2026,243.53140,120841,quant Mid Cap Fund - Growth Option - Direct Plan
13-05-2026,240.07460,120841,quant Mid Cap Fund - Growth Option - Direct Plan
12-05-2026,238.15280,120841,quant Mid Cap Fund - Growth Option - Direct Plan
11-05-2026,242.72190,120841,quant Mid Cap Fund - Growth Option - Direct Plan
08-05-2026,244.62010,120841,quant Mid Cap Fund - Growth Option - Direct Plan
07-05-2026,245.60550,120841,quant Mid Cap Fund - Growth Option - Direct Plan
06-05-2026,245.38780,120841,quant Mid Cap Fund - Growth Option - Direct Plan
05-05-2026,242.95940,120841,quant Mid Cap Fund - Growth Option - Direct Plan
04-05-2026,242.76550,120841,quant Mid Cap Fund - Growth Option - Direct Plan
