date,nav,scheme_code,scheme_name
23-06-2026,6200.85110,119092,HDFC Money Market Fund - Growth Option - Direct Plan
22-06-2026,6199.48710,119092,HDFC Money Market Fund - Growth Option - Direct Plan
19-06-2026,6195.78150,119092,HDFC Money Market Fund - Growth Option - Direct Plan
18-06-2026,6194.65200,119092,HDFC Money Market Fund - Growth Option - Direct Plan
17-06-2026,6193.35040,119092,HDFC Money Market Fund - Growth Option - Direct Plan
16-06-2026,6191.81200,119092,HDFC Money Market Fund - Growth Option - Direct Plan
15-06-2026,6187.82230,119092,HDFC Money Market Fund - Growth Option - Direct Plan
12-06-2026,6181.81480,119092,HDFC Money Market Fund - Growth Option - Direct Plan
11-06-2026,6179.19960,119092,HDFC Money Market Fund - Growth Option - Direct Plan
10-06-2026,6181.79670,119092,HDFC Money Market Fund - Growth Option - Direct Plan
09-06-2026,6180.66850,119092,HDFC Money Market Fund - Growth Option - Direct Plan
08-06-2026,6174.20840,119092,HDFC Money Market Fund - Growth Option - Direct Plan
05-06-2026,6168.47550,119092,HDFC Money Market Fund - Growth Option - Direct Plan
04-06-2026,6160.94340,119092,HDFC Money Market Fund - Growth Option - Direct Plan
03-06-2026,6159.96260,119092,HDFC Money Market Fund - Growth Option - Direct Plan
02-06-2026,6158.96650,119092,HDFC Money Market Fund - Growth Option - Direct Plan
01-06-2026,6156.75320,119092,HDFC Money Market Fund - Growth Option - Direct Plan
29-05-2026,6151.11390,119092,HDFC Money Market Fund - Growth Option - Direct Plan
27-05-2026,6146.61180,119092,HDFC Money Market Fund - Growth Option - Direct Plan
26-05-2026,6144.00040,119092,HDFC Money Market Fund - Growth Option - Direct Plan
25-05-2026,6144.84780,119092,HDFC Money Market Fund - Growth Option - Direct Plan
22-05-2026,6142.63800,119092,HDFC Money Market Fund - Growth Option - Direct Plan
21-05-2026,6142.88080,119092,HDFC Money Market Fund - Growth Option - Direct Plan
20-05-2026,6147.58560,119092,HDFC Money Market Fund - Growth Option - Direct Plan
19-05-2026,6149.75980,119092,HDFC Money Market Fund - Growth Option - Direct Plan
18-05-2026,6148.48470,119092,HDFC Money Market Fund - Growth Option - Direct Plan
15-05-2026,6148.30160,119092,HDFC Money Market Fund - Growth Option - Direct Plan
14-05-2026,6148.93610,119092,HDFC Money Market Fund - Growth Option - Direct Plan
13-05-2026,6150.12570,119092,HDFC Money Market Fund - Growth Option - Direct Plan
12-05-2026,6150.50760,119092,HDFC Money Market Fund - Growth Option - Direct Plan
11-05-2026,6151.86710,119092,HDFC Money Market Fund - Growth Option - Direct Plan
08-05-2026,6151.37070,119092,HDFC Money Market Fund - Growth Option - Direct Plan
07-05-2026,6149.90980,119092,HDFC Money Market Fund - Growth Option - Direct Plan
06-05-2026,6149.03070,119092,HDFC Money Market Fund - Growth Option - Direct Plan
05-05-2026,6146.00010,119092,HDFC Money Market Fund - Growth Option - Direct Plan
04-05-2026,6145.70490,119092,HDFC Money Market Fund - Growth Option - Direct Plan
30-04-2026,6140.16140,119092,HDFC Money Market Fund - Growth Option - Direct Plan
29-04-2026,6141.87990,119092,HDFC Money Market Fund - Growth Option - Direct Plan
28-04-2026,6143.00100,119092,HDFC Money Market Fund - Growth Option - Direct Plan
27-04-2026,6142.59020,119092,HDFC Money Market Fund - Growth Option - Direct Plan
24-04-2026,6142.20180,119092,HDFC Money Market Fund - Growth Option - Direct Plan
23-04-2026,6141.96030,119092,HDFC Money Market Fund - Growth Option - Direct Plan
22-04-2026,6143.36630,119092,HDFC Money Market Fund - Growth Option - Direct Plan
21-04-2026,6142.96010,119092,HDFC Money Market Fund - Growth Option - Direct Plan
20-04-2026,6142.25370,119092,HDFC Money Market Fund - Growth Option - Direct Plan
17-04-2026,6139.23510,119092,HDFC Money Market Fund - Growth Option - Direct Plan
16-04-2026,6139.70040,119092,HDFC Money Market Fund - Growth Option - Direct Plan
15-04-2026,6137.69620,119092,HDFC Money Market Fund - Growth Option - Direct Plan
13-04-2026,6133.40710,119092,HDFC Money Market Fund - Growth Option - Direct Plan
10-04-2026,6129.76740,119092,HDFC Money Market Fund - Growth Option - Direct Plan
09-04-2026,6126.15440,119092,HDFC Money Market Fund - Growth Option - Direct Plan
08-04-2026,6119.12430,119092,HDFC Money Market Fund - Growth Option - Direct Plan
07-04-2026,6110.18340,119092,HDFC Money Market Fund - Growth Option - Direct Plan
06-04-2026,6107.33460,119092,HDFC Money Market Fund - Growth Option - Direct Plan
02-04-2026,6104.72640,119092,HDFC Money Market Fund - Growth Option - Direct Plan
31-03-2026,6102.51310,119092,HDFC Money Market Fund - Growth Option - Direct Plan
30-03-2026,6101.38580,119092,HDFC Money Market Fund - Growth Option - Direct Plan
27-03-2026,6095.18590,119092,HDFC Money Market Fund - Growth Option - Direct Plan
25-03-2026,6090.54100,119092,HDFC Money Market Fund - Growth Option - Direct Plan
24-03-2026,6089.20450,119092,HDFC Money Market Fund - Growth Option - Direct Plan
23-03-2026,6090.16010,119092,HDFC Money Market Fund - Growth Option - Direct Plan
20-03-2026,6093.52610,119092,HDFC Money Market Fund - Growth Option - Direct Plan
18-03-2026,6093.85860,119092,HDFC Money Market Fund - Growth Option - Direct Plan
17-03-2026,6089.09930,119092,HDFC Money Market Fund - Growth Option - Direct Plan
16-03-2026,6086.34340,119092,HDFC Money Market Fund - Growth Option - Direct Plan
13-03-2026,6083.61970,119092,HDFC Money Market Fund - Growth Option - Direct Plan
12-03-2026,6087.11200,119092,HDFC Money Market Fund - Growth Option - Direct Plan
11-03-2026,6088.34040,119092,HDFC Money Market Fund - Growth Option - Direct Plan
10-03-2026,6086.65160,119092,HDFC Money Market Fund - Growth Option - Direct Plan
09-03-2026,6085.22880,119092,HDFC Money Market Fund - Growth Option - Direct Plan
06-03-2026,6084.29620,119092,HDFC Money Market Fund - Growth Option - Direct Plan
05-03-2026,6082.39270,119092,HDFC Money Market Fund - Growth Option - Direct Plan
04-03-2026,6081.05890,119092,HDFC Money Market Fund - Growth Option - Direct Plan
02-03-2026,6081.76400,119092,HDFC Money Market Fund - Growth Option - Direct Plan
27-02-2026,6079.91950,119092,HDFC Money Market Fund - Growth Option - Direct Plan
26-02-2026,6078.81230,119092,HDFC Money Market Fund - Growth Option - Direct Plan
25-02-2026,6077.58860,119092,HDFC Money Market Fund - Growth Option - Direct Plan
24-02-2026,6076.17580,119092,HDFC Money Market Fund - Growth Option - Direct Plan
23-02-2026,6074.63880,119092,HDFC Money Market Fund - Growth Option - Direct Plan
20-02-2026,6071.65710,119092,HDFC Money Market Fund - Growth Option - Direct Plan
18-02-2026,6069.76700,119092,HDFC Money Market Fund - Growth Option - Direct Plan
17-02-2026,6069.70630,119092,HDFC Money Market Fund - Growth Option - Direct Plan
16-02-2026,6069.37830,119092,HDFC Money Market Fund - Growth Option - Direct Plan
13-02-2026,6066.86400,119092,HDFC Money Market Fund - Growth Option - Direct Plan
12-02-2026,6063.70500,119092,HDFC Money Market Fund - Growth Option - Direct Plan
11-02-2026,6061.12040,119092,HDFC Money Market Fund - Growth Option - Direct Plan
10-02-2026,6058.86430,119092,HDFC Money Market Fund - Growth Option - Direct Plan
09-02-2026,6057.50320,119092,HDFC Money Market Fund - Growth Option - Direct Plan
06-02-2026,6054.96860,119092,HDFC Money Market Fund - Growth Option - Direct Plan
