date,nav,scheme_code,scheme_name
23-06-2026,100.46050,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
22-06-2026,101.36540,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
19-06-2026,100.78240,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
18-06-2026,100.99010,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
17-06-2026,100.60400,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
16-06-2026,100.00480,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
15-06-2026,99.35060,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
12-06-2026,98.17760,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
11-06-2026,96.17120,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
10-06-2026,96.58620,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
09-06-2026,96.68490,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
08-06-2026,95.89520,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
05-06-2026,97.24560,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
04-06-2026,97.26210,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
03-06-2026,97.21670,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
02-06-2026,97.47830,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
01-06-2026,97.19440,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
29-05-2026,98.46560,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
27-05-2026,99.80920,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
26-05-2026,99.43560,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
25-05-2026,99.80470,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
22-05-2026,98.74970,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
21-05-2026,98.37810,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
20-05-2026,98.39330,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
19-05-2026,98.12890,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
18-05-2026,97.93720,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
15-05-2026,98.00590,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
14-05-2026,98.06060,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
13-05-2026,97.16900,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
12-05-2026,97.18460,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
11-05-2026,99.20070,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
08-05-2026,100.49810,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
07-05-2026,101.29170,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
06-05-2026,101.17250,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
05-05-2026,99.90720,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
04-05-2026,100.09320,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
30-04-2026,99.55020,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
29-04-2026,100.39280,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
28-04-2026,99.97820,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
27-04-2026,100.60930,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
24-04-2026,99.76000,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
23-04-2026,100.80160,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
22-04-2026,101.58030,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
21-04-2026,101.96450,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
20-04-2026,100.95660,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
17-04-2026,100.79030,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
16-04-2026,99.92630,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
15-04-2026,99.88430,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
13-04-2026,98.18510,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
10-04-2026,98.88860,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
09-04-2026,97.49480,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
08-04-2026,98.18610,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
07-04-2026,94.75840,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
06-04-2026,94.35300,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
02-04-2026,93.23610,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
01-04-2026,92.92110,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
31-03-2026,91.45390,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
30-03-2026,91.45500,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
27-03-2026,93.57900,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
25-03-2026,95.62170,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
24-03-2026,93.83540,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
23-03-2026,92.15230,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
20-03-2026,94.82760,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
19-03-2026,94.54580,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
18-03-2026,97.54880,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
17-03-2026,96.61460,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
16-03-2026,95.94410,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
13-03-2026,95.18440,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
12-03-2026,97.31000,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
11-03-2026,98.11390,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
10-03-2026,99.47250,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
09-03-2026,98.28950,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
06-03-2026,100.08290,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
05-03-2026,101.14220,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
04-03-2026,99.95100,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
02-03-2026,101.85410,118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option
